"dictor","type","mean","ci","sd"
"D1","narrative",3.5,0.53,1.14
"D1","prose",4.63,0.25,0.66
"D1","verse",3.85,0.08,0.3
"D2","narrative",4.66,0.42,0.93
"D2","prose",3.52,0.34,0.93
"D2","verse",3.15,0.21,0.56
"D3","narrative",3.75,0.39,0.71
"D3","prose",3.82,0.32,0.89
"D3","verse",3.17,0.12,0.33
"D4","narrative",3.78,0.33,0.77
"D4","prose",3.6,0.23,0.63
"D4","verse",3.74,0.09,0.25
"D5","narrative",3.68,0.37,0.84
"D5","prose",4.15,0.31,0.78
"D5","verse",3.91,0.19,0.53
"D6","narrative",5.54,0.25,0.85
"D6","prose",3.97,0.44,1.14
"D6","verse",3.57,0.23,0.62
"D7","narrative",3.45,0.5,0.68
"D7","prose",4.73,0.3,0.72
"D7","verse",3.73,0.14,0.38
"D8","narrative",4.58,0.65,1.1
"D8","prose",4.03,0.43,1.12
"D8","verse",3.92,0.14,0.37
"D9","narrative",3.71,0.46,0.85
"D9","prose",5.01,0.4,1.05
"D9","verse",4.33,0.17,0.45
